peso_kg,categoria,ap_kg_dia,req_proteico
275.0,vaquillonas,1.2,746.0
275.0,vaquillonas,1.4,0.0
287.5,vaquillonas,0.2,454.0
287.5,vaquillonas,0.4,538.0
287.5,vaquillonas,0.6,592.3
287.5,vaquillonas,0.8,632.0
287.5,vaquillonas,1.0,616.5
287.5,vaquillonas,1.2,752.0
287.5,vaquillonas,1.4,0.0
300.0,vaquillonas,0.2,465.0
300.0,vaquillonas,0.4,549.0
300.0,vaquillonas,0.6,602.0
300.0,vaquillonas,0.8,640.0
300.0,vaquillonas,1.0,621.0
300.0,vaquillonas,1.2,758.0
300.0,vaquillonas,1.4,0.0
312.5,vaquillonas,0.2,475.8
312.5,vaquillonas,0.4,559.5
312.5,vaquillonas,0.6,611.0
312.5,vaquillonas,0.8,647.5
312.5,vaquillonas,1.0,625.3
312.5,vaquillonas,1.2,763.8
312.5,vaquillonas,1.4,0.0
325.0,vaquillonas,0.2,486.5
325.0,vaquillonas,0.4,570.0
325.0,vaquillonas,0.6,620.0
325.0,vaquillonas,0.8,655.0
325.0,vaquillonas,1.0,629.5
325.0,vaquillonas,1.2,769.5
325.0,vaquillonas,1.4,0.0
337.5,vaquillonas,0.2,497.3
337.5,vaquillonas,0.4,580.5
337.5,vaquillonas,0.6,629.0
337.5,vaquillonas,0.8,662.5
337.5,vaquillonas,1.0,633.8
337.5,vaquillonas,1.2,775.3
337.5,vaquillonas,1.4,0.0
350.0,vaquillonas,0.2,508.0
350.0,vaquillonas,0.4,591.0
350.0,vaquillonas,0.6,638.0
350.0,vaquillonas,0.8,670.0
350.0,vaquillonas,1.0,638.0
350.0,vaquillonas,1.2,781.0
350.0,vaquillonas,1.4,0.0
362.5,vaquillonas,0.2,518.3
362.5,vaquillonas,0.4,600.8
362.5,vaquillonas,0.6,647.0
362.5,vaquillonas,0.8,677.5
362.5,vaquillonas,1.0,642.0
362.5,vaquillonas,1.2,786.5
362.5,vaquillonas,1.4,0.0
375.0,vaquillonas,0.2,528.5
375.0,vaquillonas,0.4,610.5
375.0,vaquillonas,0.6,656.0
375.0,vaquillonas,0.8,685.0
375.0,vaquillonas,1.0,646.0
375.0,vaquillonas,1.2,792.0
375.0,vaquillonas,1.4,0.0
387.5,vaquillonas,0.2,538.8
387.5,vaquillonas,0.4,620.3
387.5,vaquillonas,0.6,665.0
387.5,vaquillonas,0.8,692.5
387.5,vaquillonas,1.0,650.0
387.5,vaquillonas,1.2,797.5
387.5,vaquillonas,1.4,0.0
400.0,vaquillonas,0.2,549.0
400.0,vaquillonas,0.4,630.0
400.0,vaquillonas,0.6,674.0
400.0,vaquillonas,0.8,700.0
400.0,vaquillonas,1.0,654.0
400.0,vaquillonas,1.2,803.0
400.0,vaquillonas,1.4,0.0
412.5,vaquillonas,0.2,558.8
412.5,vaquillonas,0.4,639.8
412.5,vaquillonas,0.6,682.5
412.5,vaquillonas,0.8,707.0
412.5,vaquillonas,1.0,658.0
412.5,vaquillonas,1.2,808.3
412.5,vaquillonas,1.4,0.0
425.0,vaquillonas,0.2,568.5
425.0,vaquillonas,0.4,649.5
425.0,vaquillonas,0.6,691.0
425.0,vaquillonas,0.8,714.0
425.0,vaquillonas,1.0,662.0
425.0,vaquillonas,1.2,813.5
425.0,vaquillonas,1.4,0.0
437.5,vaquillonas,0.2,578.3
437.5,vaquillonas,0.4,659.3
437.5,vaquillonas,0.6,699.5
437.5,vaquillonas,0.8,721.0
